team,team_short,first_year,last_year,W,L,T,W_L_pct,AV,Passer,Rusher,Receiver,Coaching,plyf,Chmp,SBwl,Conf,Div,hex,pop,text,years_since
Arizona Cardinals,Cardinals,1920,2015,535,724,39,0.425,Hart,Hart,Anderson,Fitzgerald,Whisenhunt,10,2,0,1,8,#97233F,0,"<p>That's embarrassing. The <span class='team-name'>Arizona Cardinals</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Atlanta Falcons,Falcons,1966,2015,330,432,6,0.433,Kenn,Ryan,Riggs,White,Smith,12,0,0,1,6,#A71930,0,"<p>That's embarrassing. The <span class='team-name'>Atlanta Falcons</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Baltimore Ravens,Ravens,1996,2015,173,146,1,0.542,Lewis,Flacco,Lewis,Mason,Billick,10,2,2,2,4,#241773,"315,000,000","<p>Well, aren't you lucky! The <span class='team-name'>Baltimore Ravens</span> have won as recently as <span class='team-name'>2013</span>, only <span class='team-name'>3</span> years ago. That means <span class='team-name'>315,000,000</span> Americans alive today were around when the Ravens won.</p>",3
Buffalo Bills,Bills,1960,2015,393,451,8,0.466,Smith,Kelly,Thomas,Reed,Levy,17,2,0,4,11,#00338D,0,"<p>That's embarrassing. The <span class='team-name'>Buffalo Bills</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Carolina Panthers,Panthers,1995,2015,166,169,1,0.496,Smith,Delhomme,Williams,Smith,Fox,7,0,0,2,6,#0085CA,0,"<p>That's embarrassing. The <span class='team-name'>Carolina Panthers</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Chicago Bears,Bears,1920,2015,741,555,42,0.572,Payton,Cutler,Payton,Morris,Halas,25,9,1,2,23,#0B162A,"200,600,000","<p>The <span class='team-name'>Chicago Bears</span> haven't won since <span class='team-name'>1986</span>, <span class='team-name'>30</span> years ago. That means while <span class='team-name'>200,600,000</span> Americans alive today were around when they won, millennials likely have no memory of your team's victory.</p>",30
Cincinnati Bengals,Bengals,1968,2015,338,399,3,0.459,Munoz,Anderson,Dillon,Johnson,Lewis,14,0,0,2,10,#FB4F14,0,"<p>That's embarrassing. The <span class='team-name'>Cincinnati Bengals</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Cleveland Browns,Browns,1946,2015,508,455,13,0.527,Matthews,Sipe,Brown,Newsome,Brown,28,8,0,0,23,#FB4F14,0,"<p>That's embarrassing. The <span class='team-name'>Cleveland Browns</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Dallas Cowboys,Cowboys,1960,2015,480,364,6,0.569,Smith,Romo,Smith,Irvin,Landry,31,5,5,8,22,#ACC0C6,"245,300,000","<p>The <span class='team-name'>Dallas Cowboys</span> haven't won since <span class='team-name'>1996</span>, <span class='team-name'>20</span> years ago. That means <span class='team-name'>245,300,000</span> Americans alive today were around when the Cowboys won. Could be worse.</p>",20
Denver Broncos,Broncos,1960,2015,456,386,10,0.541,Elway,Elway,Davis,Smith,Shanahan,22,2,2,8,15,#FB4F14,"257,800,000","<p>The <span class='team-name'>Denver Broncos</span> haven't won since <span class='team-name'>1999</span>, <span class='team-name'>17</span> years ago. That means <span class='team-name'>257,800,000</span> Americans alive today were around when the Broncos won. Could be worse.</p>",17
