year,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
1903,NaN,NaN,0,0,80632000.0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
1904,NaN,NaN,0,0,80197000.0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
1905,NaN,NaN,0,0,79806000.0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,83822000.0,0,NaN,NaN,NaN,NaN
1906,NaN,NaN,0,0,79336000.0,0,85450000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,83400000.0,0,NaN,NaN,NaN,NaN
1907,NaN,NaN,0,0,78781000.0,87008000.0,84922000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,82853000.0,0,NaN,NaN,NaN,NaN
1908,NaN,NaN,0,0,78346000.0,88710000.0,84483000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,NaN,82407000.0,0,NaN,NaN,NaN,NaN
1909,NaN,NaN,0,0,77979000.0,88328000.0,84090000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,90490000.0,NaN,NaN,82018000.0,0,NaN,NaN,NaN,NaN
1910,NaN,NaN,0,0,77714000.0,88036000.0,83800000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,92407000.0,0,90204000.0,NaN,NaN,81736000.0,0,NaN,NaN,NaN,NaN
1911,NaN,NaN,0,0,77008000.0,87281000.0,83067000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,93863000.0,0,89442000.0,NaN,NaN,81012000.0,0,NaN,NaN,NaN,NaN
1912,NaN,NaN,0,0,95335000.0,86535000.0,82340000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,93085000.0,0,88684000.0,NaN,NaN,80293000.0,0,NaN,NaN,NaN,NaN
1913,NaN,NaN,0,0,94946000.0,86143000.0,81935000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,97225000.0,0,88295000.0,NaN,NaN,79880000.0,0,NaN,NaN,NaN,NaN
1914,NaN,NaN,99111000.0,0,94528000.0,85707000.0,81479000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,96806000.0,0,87867000.0,NaN,NaN,79409000.0,0,NaN,NaN,NaN,NaN
1915,NaN,NaN,98229000.0,0,100546000.0,84845000.0,80604000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,95934000.0,0,87008000.0,NaN,NaN,78525000.0,0,NaN,NaN,NaN,NaN
1916,NaN,NaN,97328000.0,0,101961000.0,83925000.0,79661000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,95037000.0,0,86097000.0,NaN,NaN,77573000.0,0,NaN,NaN,NaN,NaN
1917,NaN,NaN,96311000.0,0,100939000.0,82854000.0,103268000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,94017000.0,0,85039000.0,NaN,NaN,76464000.0,0,NaN,NaN,NaN,NaN
1918,NaN,NaN,93906000.0,0,103208000.0,80369000.0,100876000.0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,91602000.0,0,82568000.0,NaN,NaN,73950000.0,0,NaN,NaN,NaN,NaN
1919,NaN,NaN,92978000.0,0,102215000.0,79494000.0,99907000.0,104514000.0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,90681000.0,0,81680000.0,NaN,NaN,73144000.0,0,NaN,NaN,NaN,NaN
1920,NaN,NaN,92483000.0,0,101871000.0,78921000.0,99534000.0,104184000.0,106461000.0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,90151000.0,0,81094000.0,NaN,NaN,72672000.0,0,NaN,NaN,NaN,NaN
1921,NaN,NaN,91942000.0,0,101418000.0,78371000.0,99036000.0,103801000.0,106176000.0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,89610000.0,0,80553000.0,NaN,NaN,108538000.0,0,NaN,NaN,NaN,NaN
1922,NaN,NaN,90921000.0,0,100412000.0,77362000.0,98018000.0,102815000.0,105223000.0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,88593000.0,0,79540000.0,NaN,NaN,110049000.0,0,NaN,NaN,NaN,NaN
1923,NaN,NaN,90316000.0,0,99828000.0,76739000.0,97427000.0,102238000.0,104658000.0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,111947000.0,87984000.0,0,78915000.0,NaN,NaN,109514000.0,0,NaN,NaN,NaN,NaN
1924,NaN,NaN,89901000.0,0,99421000.0,76297000.0,97017000.0,101840000.0,104271000.0,NaN,0,NaN,NaN,NaN,0,NaN,114109000.0,NaN,111633000.0,87566000.0,0,78482000.0,NaN,NaN,109168000.0,0,NaN,NaN,NaN,NaN
1925,NaN,NaN,89068000.0,0,98628000.0,75484000.0,96208000.0,101064000.0,103513000.0,NaN,0,NaN,NaN,NaN,0,NaN,113369000.0,NaN,110904000.0,86735000.0,0,115829000.0,NaN,NaN,108437000.0,0,NaN,NaN,NaN,NaN
1926,NaN,NaN,88182000.0,0,97779000.0,74619000.0,95335000.0,100243000.0,102722000.0,NaN,0,NaN,NaN,NaN,0,NaN,112617000.0,NaN,110166000.0,85867000.0,0,115031000.0,NaN,NaN,107693000.0,117397000.0,NaN,NaN,NaN,NaN
1927,NaN,NaN,87382000.0,0,96933000.0,73768000.0,94488000.0,99407000.0,101903000.0,NaN,0,NaN,NaN,NaN,0,NaN,111906000.0,NaN,119035000.0,85071000.0,0,114347000.0,NaN,NaN,106924000.0,116730000.0,NaN,NaN,NaN,NaN
1928,NaN,NaN,86536000.0,0,96035000.0,72872000.0,93606000.0,98499000.0,100989000.0,NaN,0,NaN,NaN,NaN,0,NaN,111031000.0,NaN,120509000.0,84211000.0,0,113497000.0,NaN,NaN,106016000.0,115913000.0,NaN,NaN,NaN,NaN
1929,NaN,NaN,85563000.0,0,95000000.0,71897000.0,92602000.0,97446000.0,99931000.0,NaN,0,NaN,NaN,NaN,0,NaN,110033000.0,NaN,119625000.0,121767000.0,0,112530000.0,NaN,NaN,104972000.0,114977000.0,NaN,NaN,NaN,NaN
1930,NaN,NaN,84722188.0,0,94211399.0,71035659.0,91814414.0,96641817.0,99114456.0,NaN,0,NaN,NaN,NaN,0,NaN,109215022.0,NaN,118730946.0,123076741.0,0,111704626.0,NaN,NaN,104219114.0,114082259.0,NaN,NaN,NaN,NaN
1931,NaN,NaN,83535020.0,0,92984275.0,69922926.0,90597151.0,95405343.0,97868659.0,NaN,0,NaN,NaN,NaN,0,NaN,107934943.0,NaN,117535102.0,121900967.0,0,110415941.0,NaN,NaN,102948910.0,124039648.0,NaN,NaN,NaN,NaN
1932,NaN,NaN,82294743.0,0,91699349.0,68763136.0,89323172.0,94110199.0,96563546.0,NaN,0,NaN,NaN,NaN,0,NaN,106593780.0,NaN,124840471.0,120697768.0,0,109065968.0,NaN,NaN,101618399.0,122799552.0,NaN,NaN,NaN,NaN
